2014-05-26T10:08 8068 724298
2014-05-26T09:56 7987 724192
2014-05-26T09:55 7987 724184
2014-05-22T15:01 7987 724168
2014-05-22T14:45 7994 724078
2014-05-22T14:45 7994 724070
2014-05-21T14:12 6987 722170
2014-05-21T14:11 6985 722164
2014-05-21T14:11 6985 722162
2014-05-21T14:11 6985 722160
2014-05-21T14:10 6985 722156
2014-05-21T14:09 6983 722150
2014-05-21T11:47 7036 721751
2014-05-21T11:24 7036 721743
2014-05-21T09:42 6979 721597
2014-05-19T12:25 6979 721596
2014-05-19T12:25 6979 721586
2014-05-19T10:16 7007 721498
2014-05-19T10:16 7007 721488
2014-05-19T10:11 7004 721473
2014-05-19T09:32 7009 721458
2014-05-19T09:29 7009 721456
2014-05-19T09:23 7003 721430
2014-05-19T09:15 6991 721416
2014-05-19T09:15 6991 721406
2014-05-19T09:04 6460 720229
2014-05-16T23:08 5986 719229
2014-05-16T23:06 5976 719179
2014-05-16T12:31 5888 719017
2014-05-16T12:31 5888 719007
2014-05-15T20:18 5748 718698
2014-05-14T10:29 5709 718539
2014-05-14T10:00 5708 718536
2014-05-13T17:09 5709 718533
2014-05-13T17:08 5709 718531
2014-05-13T16:57 5694 718503
2014-05-13T15:45 5716 718410
2014-05-13T15:19 5651 718301
2014-05-13T11:55 5496 717909
2014-05-13T10:54 5522 717768
2014-05-13T10:22 5493 717607
2014-05-12T20:43 5423 717229
2014-05-12T20:23 5424 717228
2014-05-12T20:09 5422 717226
2014-05-12T17:31 5422 717220
2014-05-12T17:30 5422 717210
2014-05-12T17:16 5439 717175
2014-05-12T17:10 5411 717146
2014-05-12T16:29 5403 717138
2014-05-12T14:58 5229 716760
2014-05-12T13:58 5137 716341
2014-05-12T13:24 5100 716287
2014-05-12T11:34 5065 716224
2014-05-12T11:03 4993 715969
2014-05-12T11:01 4993 715942
2014-05-12T10:41 4969 715785
2014-05-12T09:53 4971 715773
2014-05-12T09:34 4982 715727
2014-05-11T22:12 4902 715577
2014-05-11T21:38 4902 715575
2014-05-11T20:34 4902 715573
2014-05-11T19:01 4548 714777
2014-05-11T18:46 4548 714767
2014-05-11T18:41 4546 714697
2014-05-11T18:41 4546 714673
2014-05-11T17:51 4496 714306
2014-05-09T21:47 4406 713363
2014-05-09T21:28 4395 713287
2014-05-09T20:51 4395 712730
2014-05-09T18:23 4387 712041
2014-05-05T11:11 4619 709928
2014-05-04T10:45 4618 709921
2014-05-02T19:27 4239 708852
2014-05-02T17:49 4059 708275
2014-04-29T23:08 4041 708243
2014-04-27T20:02 3959 708142
2014-04-27T19:08 3949 708118
2014-04-27T18:57 3985 707998
2014-04-27T18:48 3974 707972
2014-04-27T18:46 3973 707971
2014-04-27T18:43 3962 707928
2014-04-27T18:08 3662 707442
2014-04-25T23:50 4005 706276
2014-04-25T23:48 4010 706271
2014-04-24T15:13 4091 705897
2014-04-24T14:46 4091 705893
2014-04-24T14:30 4091 705885
2014-04-24T08:31 4059 705628
2014-04-23T13:51 4051 705607
2014-04-23T09:02 4051 705597
2014-04-22T22:36 3692 704789
2014-04-22T21:58 3694 704783
2014-04-22T20:25 3565 704347
2014-04-22T20:19 3555 704337
2014-04-22T20:12 3555 704335
2014-04-22T17:16 3464 703839
2014-04-22T17:12 3464 703833
2014-04-22T16:43 3439 703802
2014-04-22T16:42 3439 703800
2014-04-22T16:37 3439 703798
2014-04-22T16:12 3427 703639
2014-04-22T14:15 3745 702506
2014-04-22T14:13 3733 702020
2014-04-22T14:04 3734 702010
2014-04-22T14:01 3404 701469
2014-04-22T10:11 3857 700605
2014-04-22T08:54 3772 700363
2014-04-22T08:15 3716 699794
2014-04-22T08:00 3735 699597
2014-04-22T07:40 3551 685850
2014-04-21T23:10 3531 685822
2014-04-21T22:57 3755 685191
2014-04-21T20:26 3753 685111
2014-04-21T19:56 3763 685003
2014-04-21T19:34 4047 684508
2014-04-21T19:29 4043 684482
2014-04-21T19:28 4027 684426
2014-04-21T18:23 10413 670896
2014-04-21T18:18 10408 670504
2014-04-21T17:12 10320 669735
2014-04-21T17:11 10320 669383
2014-04-21T17:05 10078 669141
2013-11-27T13:40 32566 582200
2013-11-27T11:02 32566 582198
2013-11-26T16:29 32562 582192
2013-11-26T14:09 32562 582190
